column,계수,하한,상한,p값,오즈비,OR 하한,OR 상한,단위,피처,유의(95%)
region_North Western Region,0.07061319500882413,-0.115904121303773,0.2571305113214213,0.45807606264912537,1.073166039594997,0.8905606049939823,1.2932138948003349,기준 범주 대비,region,
imd_band_30-40%,-0.0692608085115264,-0.2422012714440548,0.10367965442100201,0.4324860247835268,0.9330832922761877,0.7848981840616318,1.1092450562436322,기준 범주 대비,imd_band,
region_South West Region,0.05810571191038914,-0.13414309004942904,0.2503545138702073,0.55359351861089,1.0598270261283225,0.8744649284208446,1.284480702205403,기준 범주 대비,region,
avg_submit_delay_25,0.045136146995382216,0.026604209012319798,0.06366808497844463,1.8090520416926461e-06,1.046170283153958,1.0269612603043505,1.0657386053979043,1 증가,avg_submit_delay_25,예
distinct_resources_25,-0.03638000504805308,-0.13782979537457382,0.06506978527846766,0.4821522162160877,0.9642737949421022,0.8712469693907487,1.0672334989724632,IQR 23 증가,distinct_resources_25,
region_Wales,-0.0344785307252623,-0.24092690291120106,0.17196984146067645,0.7434185505748527,0.9661090811251283,0.7858990712229911,1.1876420151253826,기준 범주 대비,region,
imd_band_10-20,-0.028625513697707612,-0.2021559931588677,0.1449049657634525,0.7464568308026076,0.9717803147505903,0.8169674766643543,1.1559297121502663,기준 범주 대비,imd_band,
region_London Region,-0.02667574098935039,-0.20999340766772914,0.15664192568902838,0.775485516643958,0.973676913854551,0.8105895896284836,1.1695767435254623,기준 범주 대비,region,
highest_education_HE Qualification,0.02507026600372452,-0.10602363737354137,0.15616416938099043,0.7077931953077359,1.0253871678517157,0.8994033882908089,1.1690181043158374,기준 범주 대비,highest_education,
total_click_25,-0.018227618752575052,-0.09506316306005833,0.058607925554908215,0.6419599004666914,0.9819374995303843,0.9093154975049225,1.0603594193980665,IQR 297 증가,total_click_25,
no_vle_activity_25,-0.013288540083876432,-0.19859946440762136,0.17202238423986851,0.8882271148112307,0.9867993627672563,0.8198782179834003,1.1877044187769588,1 증가,no_vle_activity_25,
imd_band_70-80%,-0.01248522294697303,-0.20040740227354725,0.17543695637960122,0.8963950612541903,0.9875923940912325,0.8183972682436073,1.1917668529857912,기준 범주 대비,imd_band,
imd_band_40-50%,-0.011774416456701882,-0.19145133615092072,0.16790250323751696,0.8978019730321937,0.9882946307223056,0.825759808779439,1.1828212837801395,기준 범주 대비,imd_band,
region_South Region,-0.006243082778153142,-0.18995467482410183,0.17746850926779556,0.9468957023027943,0.993776364771201,0.8269966168610224,1.1941904513786286,기준 범주 대비,region,
region_Scotland,-0.004211548993398928,-0.18510463242127784,0.17668153443447998,0.9636036904792536,0.9957973071420181,0.8310173279478545,1.1932510232488405,기준 범주 대비,region,
imd_band_80-90%,-0.004161886040737699,-0.19601160215425772,0.18768783007278234,0.9660854282363275,0.9958467626045848,0.8220026976207634,1.2064568370158377,기준 범주 대비,imd_band,
region_South East Region,0.002341314020144354,-0.2033230080471333,0.20800563608742198,0.9821986546525205,1.002344057036151,0.8160146195632132,1.2312201087934815,기준 범주 대비,region,
