model,kind,unit,scope,module,mean,std
Logistic,group,재수강 이력,global,ALL,0.007199604431429177,0.003079806076746358
Logistic,group,재수강 이력,within_module,AAA,0.0,0.0
Logistic,group,재수강 이력,within_module,ALL,0.006787461145375364,0.003431676539465211
Logistic,group,재수강 이력,within_module,BBB,0.006619356766357866,0.005834385381481562
Logistic,group,재수강 이력,within_module,CCC,0.0,0.0
Logistic,group,재수강 이력,within_module,DDD,0.012497632859741165,0.006061312107273114
Logistic,group,재수강 이력,within_module,EEE,0.0037504673544350663,0.003960015178929122
Logistic,group,재수강 이력,within_module,FFF,0.008213957957914266,0.010237793817391568
Logistic,group,재수강 이력,within_module,GGG,-3.121194330742484e-05,0.00104949672346237
Logistic,group,평가 점수·제출 시점,global,ALL,0.09415369380722034,0.017335292428555634
Logistic,group,평가 점수·제출 시점,value_only,ALL,0.07581434936334594,0.010856297004395884
Logistic,group,평가 점수·제출 시점,within_module,AAA,0.027714413185712616,0.05565239834588525
Logistic,group,평가 점수·제출 시점,within_module,ALL,0.08476031955242576,0.011120896264676385
Logistic,group,평가 점수·제출 시점,within_module,BBB,0.04857612463816037,0.022459200170531535
Logistic,group,평가 점수·제출 시점,within_module,CCC,0.1452376568840404,0.023506315223567182
Logistic,group,평가 점수·제출 시점,within_module,DDD,0.09571773436706385,0.023552333385418404
Logistic,group,평가 점수·제출 시점,within_module,EEE,0.0,0.0
Logistic,group,평가 점수·제출 시점,within_module,FFF,0.0749981130562356,0.014014163010613007
Logistic,group,평가 점수·제출 시점,within_module,GGG,0.0,0.0
Logistic,group,평가 제출,global,ALL,0.022997549669984792,0.008230191727265482
Logistic,group,평가 제출,within_module,AAA,0.0317188074402729,0.08713552059214243
Logistic,group,평가 제출,within_module,ALL,0.023733050555572538,0.008396500152733362
Logistic,group,평가 제출,within_module,BBB,0.04144026136547478,0.011097240412410555
Logistic,group,평가 제출,within_module,CCC,0.01120111135186467,0.021149917449280308
Logistic,group,평가 제출,within_module,DDD,0.03689918889092246,0.01665167877474491
Logistic,group,평가 제출,within_module,EEE,0.0,0.0
Logistic,group,평가 제출,within_module,FFF,0.016555748319792788,0.00489677633650388
Logistic,group,평가 제출,within_module,GGG,0.0,0.0
RandomForest,feature,active_days_25,global,ALL,0.0020764071502890813,0.002284387175347825
RandomForest,feature,age_band,global,ALL,0.00026700284175826375,0.0005017192728114135
RandomForest,feature,avg_score_25,global,ALL,0.12042350217796831,0.012129654124372804
RandomForest,feature,avg_score_25,value_only,ALL,0.08306036674264411,0.010250253253757221
RandomForest,feature,avg_submit_delay_25,global,ALL,0.012929779647824066,0.0038295488880369937
RandomForest,feature,avg_submit_delay_25,value_only,ALL,0.005673157262447331,0.0073709081668054625
RandomForest,feature,code_module,global,ALL,0.043888311547737126,0.009474648802877536
RandomForest,feature,date_registration,global,ALL,0.005512747154674713,0.0036972731470255936
RandomForest,feature,disability,global,ALL,0.005278727093846243,0.0018389097324616013
RandomForest,feature,distinct_resources_25,global,ALL,0.002293292489443017,0.00267094490368576
RandomForest,feature,gender,global,ALL,0.002560633611958141,0.0014433818220524243
RandomForest,feature,highest_education,global,ALL,0.004158670041737163,0.0015335063068823735
RandomForest,feature,imd_band,global,ALL,-0.0001190831735236908,0.0005705991248708586
RandomForest,feature,n_banked_25,global,ALL,9.677007536419867e-05,0.0001376507472370034
RandomForest,feature,n_opportunity_25,global,ALL,0.025503208898983987,0.003082882990719731
RandomForest,feature,n_submitted_25,global,ALL,0.007044709391889623,0.006266794931072056
RandomForest,feature,no_vle_activity_25,global,ALL,7.659798131789408e-05,0.00018475825039216383
RandomForest,feature,num_of_prev_attempts,global,ALL,0.0023758727650264235,0.002344433905415854
RandomForest,feature,presentation_period,global,ALL,0.006211960339950034,0.0034234519698587546
RandomForest,feature,region,global,ALL,0.0011433383058848732,0.001682100510631389
RandomForest,feature,studied_credits,global,ALL,0.013630943013752011,0.003471839261692218
RandomForest,feature,total_click_25,global,ALL,0.006562200291378091,0.00361239290528454
RandomForest,group,VLE 활동량,global,ALL,0.01664095502995815,0.005900790331586158
RandomForest,group,VLE 활동량,within_module,AAA,-0.006260184381599481,0.04476979882103475
RandomForest,group,VLE 활동량,within_module,ALL,0.014159146833440977,0.009160625722816632
RandomForest,group,VLE 활동량,within_module,BBB,0.006794825859308443,0.010278582759623945
RandomForest,group,VLE 활동량,within_module,CCC,0.008713649637954393,0.02067315047229622
RandomForest,group,VLE 활동량,within_module,DDD,0.011587350922271361,0.017536059299125138
RandomForest,group,VLE 활동량,within_module,EEE,0.11558799376509132,0.02321721611470015
RandomForest,group,VLE 활동량,within_module,FFF,0.01785772992584333,0.01153959221595967
RandomForest,group,VLE 활동량,within_module,GGG,0.021347855547886613,0.024055723766423905
RandomForest,group,과목·개강 시기,global,ALL,0.05093762431801859,0.007841882394048361
RandomForest,group,과목·개강 시기,within_module,AAA,0.0,0.0
RandomForest,group,과목·개강 시기,within_module,ALL,0.0052935722289336445,0.002829690020902428
RandomForest,group,과목·개강 시기,within_module,BBB,0.00855217637553608,0.010266871063713245
RandomForest,group,과목·개강 시기,within_module,CCC,0.0,0.0
RandomForest,group,과목·개강 시기,within_module,DDD,0.007606664426835945,0.006660015784975328
RandomForest,group,과목·개강 시기,within_module,EEE,0.005094207819285728,0.006155981628345944
RandomForest,group,과목·개강 시기,within_module,FFF,0.009291340389228738,0.007136494186249748
RandomForest,group,과목·개강 시기,within_module,GGG,0.031047230193332748,0.038624554474198915
RandomForest,group,수강 부담·등록,global,ALL,0.02029955708469275,0.0035576775669418203
RandomForest,group,수강 부담·등록,within_module,AAA,0.007578556737731686,0.052274626653153244
RandomForest,group,수강 부담·등록,within_module,ALL,0.018910338600989833,0.005858169172005432
RandomForest,group,수강 부담·등록,within_module,BBB,0.018737718505127073,0.011318487857882519
RandomForest,group,수강 부담·등록,within_module,CCC,0.029051654325437142,0.012565679787259584
RandomForest,group,수강 부담·등록,within_module,DDD,0.02261697593962005,0.01757115984448888
RandomForest,group,수강 부담·등록,within_module,EEE,0.034822223801768026,0.022195087633043464
RandomForest,group,수강 부담·등록,within_module,FFF,0.01719784781604953,0.0103518754672442
RandomForest,group,수강 부담·등록,within_module,GGG,-0.0008735705395707994,0.010024534087864563
RandomForest,group,인구통계·사회경제,global,ALL,0.011739982859226703,0.0022730452863453862
RandomForest,group,인구통계·사회경제,within_module,AAA,-0.006473387070382257,0.044847881691282745
RandomForest,group,인구통계·사회경제,within_module,ALL,0.014004445918123548,0.002216327257054915
RandomForest,group,인구통계·사회경제,within_module,BBB,0.016468479910188037,0.011262571305279164
RandomForest,group,인구통계·사회경제,within_module,CCC,0.003885699942950866,0.012240395540401962
RandomForest,group,인구통계·사회경제,within_module,DDD,0.01959545813794554,0.008392109879000983
RandomForest,group,인구통계·사회경제,within_module,EEE,0.01206141228753687,0.008798788268168486
RandomForest,group,인구통계·사회경제,within_module,FFF,0.022240434153261178,0.011806231821707402
RandomForest,group,인구통계·사회경제,within_module,GGG,-0.0020113677395326582,0.009650157342701086
RandomForest,group,재수강 이력,global,ALL,0.00203385070880203,0.002455061447899393
RandomForest,group,재수강 이력,within_module,AAA,0.0,0.0
RandomForest,group,재수강 이력,within_module,ALL,0.002850269775107728,0.00237111192216733
RandomForest,group,재수강 이력,within_module,BBB,0.003939189512852799,0.0024632759256439664
RandomForest,group,재수강 이력,within_module,CCC,0.0,0.0
RandomForest,group,재수강 이력,within_module,DDD,0.003873171885072193,0.0035600838645339994
RandomForest,group,재수강 이력,within_module,EEE,0.002559904866255508,0.0033463453480784356
RandomForest,group,재수강 이력,within_module,FFF,0.010592163104499504,0.011670607776850193
RandomForest,group,재수강 이력,within_module,GGG,-0.0002384641158293432,0.00041317850397279123
RandomForest,group,평가 점수·제출 시점,global,ALL,0.14671217467342607,0.0110381816552882
RandomForest,group,평가 점수·제출 시점,value_only,ALL,0.09705931993381028,0.011048267926093132
RandomForest,group,평가 점수·제출 시점,within_module,AAA,0.11945856175532146,0.08883807569992663
RandomForest,group,평가 점수·제출 시점,within_module,ALL,0.1447425149277224,0.014930133109158198
RandomForest,group,평가 점수·제출 시점,within_module,BBB,0.11255353505198781,0.017202475987499726
RandomForest,group,평가 점수·제출 시점,within_module,CCC,0.20195795102813968,0.03466217831817766
RandomForest,group,평가 점수·제출 시점,within_module,DDD,0.19432673650110036,0.03771489954429469
RandomForest,group,평가 점수·제출 시점,within_module,EEE,0.0,0.0
RandomForest,group,평가 점수·제출 시점,within_module,FFF,0.12273453523836393,0.03766016241804214
RandomForest,group,평가 점수·제출 시점,within_module,GGG,0.0,0.0
RandomForest,group,평가 제출,global,ALL,0.02797334792616607,0.007431870646353526
RandomForest,group,평가 제출,within_module,AAA,-0.0025458219077906315,0.03445592712445786
RandomForest,group,평가 제출,within_module,ALL,0.007768987788313542,0.005306469773170808
RandomForest,group,평가 제출,within_module,BBB,0.007274714930952627,0.005881188050000499
RandomForest,group,평가 제출,within_module,CCC,0.0036699881883303863,0.017450279800074946
RandomForest,group,평가 제출,within_module,DDD,0.016565088729245486,0.008945009084588725
RandomForest,group,평가 제출,within_module,EEE,0.0,0.0
RandomForest,group,평가 제출,within_module,FFF,0.009898293129460627,0.0032180265223136135
RandomForest,group,평가 제출,within_module,GGG,0.0,0.0
XGBoost,feature,active_days_25,global,ALL,0.0013195993340618028,0.00114325729456186
XGBoost,feature,age_band,global,ALL,-2.239897794025226e-05,0.0003936483697277479
XGBoost,feature,avg_score_25,global,ALL,0.12226771531683742,0.009547586099647573
XGBoost,feature,avg_score_25,value_only,ALL,0.07835608603314052,0.010826270669949333
XGBoost,feature,avg_submit_delay_25,global,ALL,0.009188891104296076,0.002786278626594241
XGBoost,feature,avg_submit_delay_25,value_only,ALL,0.003936300500690009,0.005073721853969454
XGBoost,feature,code_module,global,ALL,0.03524969397624812,0.005801773665024321
XGBoost,feature,date_registration,global,ALL,0.003908002731477782,0.0015768842467054844
XGBoost,feature,disability,global,ALL,0.007790086360448596,0.00369560720378936
XGBoost,feature,distinct_resources_25,global,ALL,0.0005598780314605278,0.0016956317497514096
XGBoost,feature,gender,global,ALL,0.0031142054661621524,0.0010813389721544618
XGBoost,feature,highest_education,global,ALL,0.002838301651600983,0.0024800756227106187
XGBoost,feature,imd_band,global,ALL,-0.00042116999253021036,0.00046138299307831276
XGBoost,feature,n_banked_25,global,ALL,-2.6092246650173403e-05,5.3124160358808184e-05
XGBoost,feature,n_opportunity_25,global,ALL,0.041501074900097364,0.005817448308980191
XGBoost,feature,n_submitted_25,global,ALL,0.0007996985122185806,0.0008016264863937708
XGBoost,feature,no_vle_activity_25,global,ALL,7.598509468964565e-08,1.6990783700280596e-07
XGBoost,feature,num_of_prev_attempts,global,ALL,0.0005183445546433574,0.0015306321480553255
XGBoost,feature,presentation_period,global,ALL,0.004576128412284348,0.0021487418421178525
XGBoost,feature,region,global,ALL,0.00039027530848731787,0.0009295575812779109
XGBoost,feature,studied_credits,global,ALL,0.015649255891345033,0.003009259923223357
XGBoost,feature,total_click_25,global,ALL,0.0016245520366849563,0.0010825344878904752
XGBoost,group,VLE 활동량,global,ALL,0.0070717211917302805,0.0032841154972073384
XGBoost,group,VLE 활동량,within_module,AAA,-0.00464148236173228,0.015144629803705489
XGBoost,group,VLE 활동량,within_module,ALL,0.006956833904067353,0.001068293680950323
XGBoost,group,VLE 활동량,within_module,BBB,0.0003786039707328848,0.007340157438289357
